S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,ROCE %,Sales Rs.Cr.,OPM %,Debt / Eq,EPS 12M Rs.,Prom. Hold. %,Free Cash Flow 3Yrs Rs.Cr.,CF Opr 3Yrs Rs.Cr.,Ind PE,Chg in FII Hold %,Chg in DII Hold %,WC Days,Cash Cycle,Mar Cap Rs.Cr._num,P/E_num,Ind PE_num,ROCE %_num,Sales Rs.Cr._num,OPM %_num,Debt / Eq_num,EPS 12M Rs._num,Prom. Hold. %_num,Free Cash Flow 3Yrs Rs.Cr._num,CF Opr 3Yrs Rs.Cr._num,Chg in FII Hold %_num,Chg in DII Hold %_num,WC Days_num,Cash Cycle_num,sc_roce,sc_fcf3,sc_debteq,sc_valuation,sc_cfop3,sc_opm,sc_prom,sc_wceff,investment_score,rank
20,Travel Food,1290.0,42.59,16986.65,41.69,1687.74,32.83,0.32,27.58,86.19,1030.65,1205.7,144.39,,,-60.6,-427.08,16986.65,42.59,144.39,41.69,1687.74,32.83,0.32,27.58,86.19,1030.65,1205.7,,,-60.6,-427.08,0.6003465274049494,1.0,0.2677345537757435,0.7305659359354402,1.0,0.5962621224122806,1.0,1.0,0.7795255666933364,1
16,Ganesh Housing,812.5,12.86,6775.2,44.02,833.42,84.41,0.03,63.19,73.06,681.61,1078.31,40.05,-0.04,-0.1,429.09,130.82,6775.2,12.86,40.05,44.02,833.42,84.41,0.03,63.19,73.06,681.61,1078.31,-0.04,-0.1,429.09,130.82,0.6572063058226371,0.9691791320366787,0.931350114416476,1.0,0.9664162691519916,1.0,0.9179072735006384,0.12073296913848264,0.7790590349745142,2
23,Action Const.Eq.,1022.0,29.11,12170.3,40.11,3232.42,15.48,0.08,35.1,65.42,712.49,1119.68,32.55,-1.08,-0.22,-20.84,-18.09,12170.3,29.11,32.55,40.11,3232.42,15.48,0.08,35.1,65.42,712.49,1119.68,-1.08,-0.22,-20.84,-18.09,0.5617892527697793,1.0,0.8169336384439359,0.6770923257977546,1.0,0.22482926933698733,0.5929391748192261,0.714247839299347,0.7210275085476869,3
2,Tips Music,495.0,36.39,6327.66,108.83,333.45,65.14,0.01,13.6,64.15,429.34,434.26,39.63,0.05,0.95,64.13,32.28,6327.66,36.39,39.63,108.83,333.45,65.14,0.01,13.6,64.15,429.34,434.26,0.05,0.95,64.13,32.28,1.0,0.6094835194762053,0.977116704805492,0.6619693815609092,0.3870777971375345,1.0,0.538919608677159,0.4617755383513953,0.7207254034322019,4
37,BLS Internat.,313.95,22.88,12926.61,33.62,2411.2,29.05,0.21,13.72,70.39,1146.54,1439.21,36.98,-1.72,0.03,-41.72,20.26,12926.61,22.88,36.98,33.62,2411.2,29.05,0.21,13.72,70.39,1146.54,1439.21,-1.72,0.03,-41.72,20.26,0.4034115867050615,1.0,0.5194508009153317,0.8512839368567606,1.0,0.515338999379162,0.8043385793279458,0.7215001586202794,0.717731643815577,5
3,Waaree Renewab.,1180.6,34.85,12307.35,82.31,2214.9,21.39,0.12,33.58,74.39,300.28,495.76,35.4,0.07,-0.02,-10.73,46.57,12307.35,34.85,35.4,82.31,2214.9,21.39,0.12,33.58,74.39,300.28,495.76,0.07,-0.02,-10.73,46.57,1.0,0.4254651433036334,0.7254004576659039,0.6201162110500817,0.4423985269393963,0.35135192995226017,0.9744789451297323,0.6208444416531658,0.6408703547259524,6
57,Elecon Engg.Co,537.75,26.86,12067.11,28.46,2395.16,24.79,0.11,23.05,59.27,970.49,1106.23,47.99,-1.3,0.33,63.29,87.42,12067.11,26.86,47.99,28.46,2395.16,24.79,0.11,23.05,59.27,970.49,1106.23,-1.3,0.33,63.29,87.42,0.2774903606813414,1.0,0.7482837528604118,0.8885822449844446,0.9915309809579752,0.42413992421485364,0.33134836239897947,0.4041793434228411,0.637946082071412,7
5,Esab India,4761.8,42.64,7329.85,70.03,1395.88,17.31,0.01,111.68,73.72,384.79,470.35,28.74,-0.03,-0.05,26.36,31.2,7329.85,42.64,28.74,70.03,1395.88,17.31,0.01,111.68,73.72,384.79,470.35,-0.03,-0.05,26.36,31.2,1.0,0.5459625318852548,0.977116704805492,0.3046140857847238,0.4195416205285783,0.2640063368371479,0.945980433857933,0.5509860090772759,0.6356673042271332,8
53,Master Trust,125.85,13.1,1548.16,30.09,528.38,43.18,0.22,10.29,71.93,584.95,597.61,17.38,-0.15,0.05,-472.77,100.37,1548.16,13.1,17.38,30.09,528.38,43.18,0.22,10.29,71.93,584.95,597.61,-0.15,0.05,-472.77,100.37,0.317267802235346,0.8313578377484345,0.49656750572082364,0.7892974237113924,0.5340150526356504,0.8178373402410579,0.8698426201616338,0.6536206714059519,0.635032091946623,9
21,Triveni Turbine,515.85,47.99,16397.85,41.36,1913.8,21.66,0.03,10.75,55.84,541.0,653.44,47.99,-1.85,1.73,47.25,19.68,16397.85,47.99,47.99,41.36,1913.8,21.66,0.03,10.75,55.84,541.0,653.44,-1.85,1.73,47.25,19.68,0.5922934257406417,0.7686923516738604,0.931350114416476,0.6102964312768941,0.5842354810069992,0.35713215302605433,0.18545299872394755,0.5147324792935649,0.6069810952857749,10
14,Prudent Corp.,2635.0,53.16,10910.66,44.06,1181.62,23.2,0.04,49.57,55.31,412.69,436.93,53.16,-0.62,0.71,0.32,46.51,10910.66,53.16,53.16,44.06,1181.62,23.2,0.04,49.57,55.31,412.69,436.93,-0.62,0.71,0.32,46.51,0.6581824393577047,0.5857433523967591,0.9084668192219679,0.6035553790125873,0.3894795263825909,0.39010083278028784,0.16290940025521078,0.5951510688261243,0.5753635444273154,11
113,Thomas Cook (I),155.8,28.69,7336.52,18.69,8441.59,5.51,0.21,5.33,63.83,1950.61,2194.83,36.98,0.91,-0.45,-63.43,28.34,7336.52,28.69,36.98,18.69,8441.59,5.51,0.21,5.33,63.83,1950.61,2194.83,0.91,-0.45,-63.43,28.34,0.03906974474108059,1.0,0.5194508009153317,0.7519834115078936,1.0,0.0113891802787352,0.5253083794130159,0.7314170981490001,0.572074271911413,12
73,Caplin Point Lab,1932.5,24.95,14689.26,25.85,2039.67,34.19,0.0,77.46,70.57,491.32,1022.13,32.82,0.35,-0.12,174.3,175.28,14689.26,24.95,32.82,25.85,2039.67,34.19,0.0,77.46,70.57,491.32,1022.13,0.35,-0.12,174.3,175.28,0.21379764751818064,0.6978568261178913,1.0,0.7618542953980256,0.9158810073590062,0.6253773201173181,0.8119948957890258,0.0727136836602662,0.5641489543531406,13
26,Indrapr.Medical,619.9,32.52,5682.81,39.1,1404.77,18.36,0.05,19.06,51.0,351.07,501.37,55.24,-0.32,-0.05,-18.66,20.3,5682.81,32.52,55.24,39.1,1404.77,18.36,0.05,19.06,51.0,351.07,501.37,-0.32,-0.05,-18.66,20.3,0.5371418810093225,0.4978833466648989,0.8855835240274599,0.8515684248865403,0.4474448569262003,0.2864849821241253,0.0,0.6677027896203376,0.5542686427743275,14
102,NESCO,1355.7,23.09,9552.26,21.12,831.07,57.58,0.0,58.7,68.54,121.33,1022.32,22.31,0.0,0.91,-23.11,0.18,9552.26,23.09,22.31,21.12,831.07,57.58,0.0,58.7,68.54,121.33,1022.32,0.0,0.91,-23.11,0.18,0.09836985699643716,0.17031181604436071,1.0,0.5881992258576154,0.9160519169307519,1.0,0.7256486601446198,0.6998067165751971,0.5454148893805069,15
92,Nucleus Soft.,1030.9,17.12,2760.06,22.6,865.89,19.07,0.0,60.22,73.6,376.36,422.81,32.5,-0.14,0.02,-42.94,60.26,2760.06,17.12,32.5,22.6,865.89,19.07,0.0,60.22,73.6,376.36,422.81,-0.14,0.02,-42.94,60.26,0.1344867977939383,0.5339427355801658,1.0,0.909395661322857,0.37677824662970816,0.3016848279848434,0.9408762228838792,0.6811418116074812,0.5416868631538778,16
4,Shilchar Tech.,4381.75,28.23,5012.81,71.3,715.63,30.79,0.0,155.48,64.01,121.23,155.26,35.4,0.61,0.2,112.48,119.76,5012.81,28.23,35.4,71.3,715.63,30.79,0.0,155.48,64.01,121.23,155.26,0.61,0.2,112.48,119.76,1.0,0.17016923245829796,1.0,0.7383106512291773,0.13611058389006375,0.5525893258547245,0.5329646958740966,0.2545856579990806,0.5415709860826231,17
